Year,temperature
2003,7.823556850493177
2004,7.8156591895908365
2005,7.6811677208325015
2006,9.187276131683712
2007,9.0769767719334
2008,9.042896761521055
2009,8.658332437994284
2010,8.236370986629689
2011,8.407257817879978
2012,8.54807878516565
2013,9.319434494173837
2014,8.99894426416875
2015,8.510891499669027
2016,8.298519402790161
2017,8.68068836846883
2018,8.45282987871459
2019,8.419629832108825
2020,8.804687421961683
2021,8.6630551852938
2022,8.443931509575517
2023,6.496727357109789
