Year,temperature
2003,14.4
2004,14.0
2005,14.4
2006,15.0
2007,15.0
2008,14.6
2009,14.4
2010,13.9
2011,13.9
2012,14.4
2013,14.4
2014,16.1
2015,16.0
2016,15.0
2017,15.3
2018,15.0
2019,14.4
2020,15.1
2021,14.6
2022,15.0
2023,11.1
