Station_name,Latitude,Longitude,Year,heat_event_group,Start_date,End_date,Duration,Intensity,Frequency,geometry
ALTURAS MUNI AP,41.4836,-120.5614,2016,118,2016-01-17,2016-01-21,5,2.730000000000004,9,POINT (-120.5614 41.4836)
ALTURAS MUNI AP,41.4836,-120.5614,2016,119,2016-03-17,2016-03-18,2,1.5400000000000027,9,POINT (-120.5614 41.4836)
ALTURAS MUNI AP,41.4836,-120.5614,2016,120,2016-04-06,2016-04-07,2,1.1900000000000013,9,POINT (-120.5614 41.4836)
ALTURAS MUNI AP,41.4836,-120.5614,2016,121,2016-05-12,2016-05-13,2,0.41999999999999815,9,POINT (-120.5614 41.4836)
ALTURAS MUNI AP,41.4836,-120.5614,2016,122,2016-05-31,2016-06-01,2,1.120000000000001,9,POINT (-120.5614 41.4836)
ALTURAS MUNI AP,41.4836,-120.5614,2016,123,2016-06-03,2016-06-04,2,1.5399999999999991,9,POINT (-120.5614 41.4836)
ALTURAS MUNI AP,41.4836,-120.5614,2016,124,2016-06-26,2016-06-28,3,0.7700000000000031,9,POINT (-120.5614 41.4836)
ALTURAS MUNI AP,41.4836,-120.5614,2016,125,2016-07-27,2016-07-28,2,0.4199999999999946,9,POINT (-120.5614 41.4836)
ALTURAS MUNI AP,41.4836,-120.5614,2016,126,2016-12-30,2016-12-31,2,1.3300000000000018,9,POINT (-120.5614 41.4836)
ARCATA EUREKA AP,40.9783,-124.1047,2016,240,2016-01-10,2016-01-12,3,0.3500000000000014,4,POINT (-124.1047 40.9783)
ARCATA EUREKA AP,40.9783,-124.1047,2016,241,2016-02-07,2016-02-08,2,5.11000000000001,4,POINT (-124.1047 40.9783)
ARCATA EUREKA AP,40.9783,-124.1047,2016,242,2016-04-05,2016-04-06,2,4.270000000000007,4,POINT (-124.1047 40.9783)
ARCATA EUREKA AP,40.9783,-124.1047,2016,243,2016-06-05,2016-06-06,2,0.7699999999999996,4,POINT (-124.1047 40.9783)
AUBURN MUNI AP,38.9547,-121.0819,2016,400,2016-01-20,2016-01-21,2,1.4000000000000021,10,POINT (-121.0819 38.9547)
AUBURN MUNI AP,38.9547,-121.0819,2016,401,2016-02-07,2016-02-09,3,0.3500000000000014,10,POINT (-121.0819 38.9547)
AUBURN MUNI AP,38.9547,-121.0819,2016,402,2016-03-17,2016-03-18,2,0.3500000000000014,10,POINT (-121.0819 38.9547)
AUBURN MUNI AP,38.9547,-121.0819,2016,403,2016-04-02,2016-04-03,2,0.3500000000000014,10,POINT (-121.0819 38.9547)
AUBURN MUNI AP,38.9547,-121.0819,2016,404,2016-04-05,2016-04-06,2,2.450000000000003,10,POINT (-121.0819 38.9547)
AUBURN MUNI AP,38.9547,-121.0819,2016,405,2016-05-10,2016-05-12,3,0.7000000000000028,10,POINT (-121.0819 38.9547)
AUBURN MUNI AP,38.9547,-121.0819,2016,406,2016-05-30,2016-06-01,3,0.7000000000000028,10,POINT (-121.0819 38.9547)
AUBURN MUNI AP,38.9547,-121.0819,2016,407,2016-06-26,2016-06-27,2,0.7000000000000028,10,POINT (-121.0819 38.9547)
AUBURN MUNI AP,38.9547,-121.0819,2016,408,2016-08-13,2016-08-14,2,0.3500000000000014,10,POINT (-121.0819 38.9547)
