Station_name,Latitude,Longitude,Year,heat_event_group,Start_date,End_date,Duration,Intensity,Frequency,geometry
ALTURAS MUNI AP,41.4836,-120.5614,2014,104,2014-01-01,2014-01-01,1,0.41999999999999993,7,POINT (-120.5614 41.4836)
ALTURAS MUNI AP,41.4836,-120.5614,2014,105,2014-02-14,2014-02-15,2,3.0800000000000054,7,POINT (-120.5614 41.4836)
ALTURAS MUNI AP,41.4836,-120.5614,2014,106,2014-02-24,2014-02-25,2,1.1900000000000013,7,POINT (-120.5614 41.4836)
ALTURAS MUNI AP,41.4836,-120.5614,2014,107,2014-03-15,2014-03-16,2,0.4200000000000017,7,POINT (-120.5614 41.4836)
ALTURAS MUNI AP,41.4836,-120.5614,2014,108,2014-04-30,2014-05-01,2,1.9600000000000044,7,POINT (-120.5614 41.4836)
ALTURAS MUNI AP,41.4836,-120.5614,2014,109,2014-06-04,2014-06-05,2,1.1900000000000048,7,POINT (-120.5614 41.4836)
ALTURAS MUNI AP,41.4836,-120.5614,2014,110,2014-06-30,2014-07-01,2,2.730000000000004,7,POINT (-120.5614 41.4836)
ARCATA EUREKA AP,40.9783,-124.1047,2014,232,2014-01-14,2014-01-15,2,4.270000000000007,5,POINT (-124.1047 40.9783)
ARCATA EUREKA AP,40.9783,-124.1047,2014,233,2014-04-29,2014-04-30,2,5.040000000000006,5,POINT (-124.1047 40.9783)
ARCATA EUREKA AP,40.9783,-124.1047,2014,234,2014-06-07,2014-06-08,2,1.5400000000000027,5,POINT (-124.1047 40.9783)
ARCATA EUREKA AP,40.9783,-124.1047,2014,235,2014-07-23,2014-07-24,2,2.380000000000006,5,POINT (-124.1047 40.9783)
ARCATA EUREKA AP,40.9783,-124.1047,2014,236,2014-08-30,2014-08-31,2,2.3100000000000023,5,POINT (-124.1047 40.9783)
AUBURN MUNI AP,38.9547,-121.0819,2014,381,2014-01-15,2014-01-16,2,0.3500000000000014,9,POINT (-121.0819 38.9547)
AUBURN MUNI AP,38.9547,-121.0819,2014,382,2014-02-12,2014-02-13,2,0.7000000000000028,9,POINT (-121.0819 38.9547)
AUBURN MUNI AP,38.9547,-121.0819,2014,383,2014-03-15,2014-03-16,2,1.0500000000000007,9,POINT (-121.0819 38.9547)
AUBURN MUNI AP,38.9547,-121.0819,2014,384,2014-04-07,2014-04-08,2,1.4000000000000021,9,POINT (-121.0819 38.9547)
AUBURN MUNI AP,38.9547,-121.0819,2014,385,2014-04-29,2014-05-01,3,0.3500000000000014,9,POINT (-121.0819 38.9547)
AUBURN MUNI AP,38.9547,-121.0819,2014,386,2014-06-07,2014-06-08,2,2.8000000000000043,9,POINT (-121.0819 38.9547)
AUBURN MUNI AP,38.9547,-121.0819,2014,387,2014-07-13,2014-07-14,2,1.4000000000000057,9,POINT (-121.0819 38.9547)
AUBURN MUNI AP,38.9547,-121.0819,2014,388,2014-07-31,2014-08-01,2,1.0500000000000043,9,POINT (-121.0819 38.9547)
AUBURN MUNI AP,38.9547,-121.0819,2014,389,2014-11-15,2014-11-16,2,7.000000000000007,9,POINT (-121.0819 38.9547)
BEALE AFB,39.1333,-121.4333,2014,552,2014-02-22,2014-02-24,3,0.7700000000000031,9,POINT (-121.4333 39.1333)
BEALE AFB,39.1333,-121.4333,2014,553,2014-03-12,2014-03-13,2,0.5600000000000023,9,POINT (-121.4333 39.1333)
BEALE AFB,39.1333,-121.4333,2014,554,2014-03-15,2014-03-16,2,0.14000000000000057,9,POINT (-121.4333 39.1333)
BEALE AFB,39.1333,-121.4333,2014,555,2014-04-06,2014-04-08,3,1.120000000000001,9,POINT (-121.4333 39.1333)
BEALE AFB,39.1333,-121.4333,2014,556,2014-04-29,2014-05-01,3,0.07000000000000028,9,POINT (-121.4333 39.1333)
BEALE AFB,39.1333,-121.4333,2014,557,2014-05-13,2014-05-15,3,0.14000000000000057,9,POINT (-121.4333 39.1333)
BEALE AFB,39.1333,-121.4333,2014,558,2014-06-29,2014-06-30,2,1.75,9,POINT (-121.4333 39.1333)
BEALE AFB,39.1333,-121.4333,2014,559,2014-09-12,2014-09-13,2,0.14000000000000057,9,POINT (-121.4333 39.1333)
BEALE AFB,39.1333,-121.4333,2014,560,2014-10-03,2014-10-06,4,0.07000000000000028,9,POINT (-121.4333 39.1333)
BLUE CANYON NYACK AP,39.2761,-120.7092,2014,724,2014-01-13,2014-01-14,2,0.7700000000000031,8,POINT (-120.7092 39.2761)
BLUE CANYON NYACK AP,39.2761,-120.7092,2014,725,2014-02-24,2014-02-25,2,0.34999999999999964,8,POINT (-120.7092 39.2761)
BLUE CANYON NYACK AP,39.2761,-120.7092,2014,726,2014-04-07,2014-04-08,2,0.7700000000000031,8,POINT (-120.7092 39.2761)
BLUE CANYON NYACK AP,39.2761,-120.7092,2014,727,2014-04-29,2014-04-30,2,1.5400000000000027,8,POINT (-120.7092 39.2761)
BLUE CANYON NYACK AP,39.2761,-120.7092,2014,728,2014-06-04,2014-06-05,2,0.7700000000000031,8,POINT (-120.7092 39.2761)
BLUE CANYON NYACK AP,39.2761,-120.7092,2014,729,2014-06-07,2014-06-08,2,1.5400000000000027,8,POINT (-120.7092 39.2761)
BLUE CANYON NYACK AP,39.2761,-120.7092,2014,730,2014-06-29,2014-06-30,2,1.9600000000000044,8,POINT (-120.7092 39.2761)
BLUE CANYON NYACK AP,39.2761,-120.7092,2014,731,2014-12-22,2014-12-23,2,0.8400000000000016,8,POINT (-120.7092 39.2761)
BODEGA 6 WSW,38.3208,-123.0747,2014,896,2014-04-05,2014-04-07,3,1.6800000000000015,7,POINT (-123.0747 38.3208)
BODEGA 6 WSW,38.3208,-123.0747,2014,897,2014-06-08,2014-06-09,2,1.610000000000003,7,POINT (-123.0747 38.3208)
BODEGA 6 WSW,38.3208,-123.0747,2014,898,2014-06-25,2014-06-26,2,0.7700000000000031,7,POINT (-123.0747 38.3208)
BODEGA 6 WSW,38.3208,-123.0747,2014,899,2014-07-21,2014-07-22,2,0.9100000000000001,7,POINT (-123.0747 38.3208)
BODEGA 6 WSW,38.3208,-123.0747,2014,900,2014-09-15,2014-09-17,3,0.14000000000000057,7,POINT (-123.0747 38.3208)
BODEGA 6 WSW,38.3208,-123.0747,2014,901,2014-11-17,2014-11-18,2,0.3500000000000014,7,POINT (-123.0747 38.3208)
BODEGA 6 WSW,38.3208,-123.0747,2014,902,2014-11-25,2014-11-26,2,1.120000000000001,7,POINT (-123.0747 38.3208)
CHICO ARMY FLYING SCHOOL,39.8,-121.85,2014,1063,2014-01-14,2014-01-15,2,0.7000000000000028,5,POINT (-121.85 39.8)
CHICO ARMY FLYING SCHOOL,39.8,-121.85,2014,1064,2014-02-13,2014-02-14,2,1.3300000000000018,5,POINT (-121.85 39.8)
CHICO ARMY FLYING SCHOOL,39.8,-121.85,2014,1065,2014-04-07,2014-04-08,2,0.7000000000000028,5,POINT (-121.85 39.8)
