Station_name,Latitude,Longitude,Year,heat_event_group,Start_date,End_date,Duration,Intensity,Frequency,geometry
ALTURAS MUNI AP,41.4836,-120.5614,2007,34,2007-03-04,2007-03-06,3,1.4700000000000024,6,POINT (-120.5614 41.4836)
ALTURAS MUNI AP,41.4836,-120.5614,2007,35,2007-04-05,2007-04-06,2,1.4700000000000024,6,POINT (-120.5614 41.4836)
ALTURAS MUNI AP,41.4836,-120.5614,2007,36,2007-05-30,2007-05-31,2,0.9100000000000001,6,POINT (-120.5614 41.4836)
ALTURAS MUNI AP,41.4836,-120.5614,2007,37,2007-07-03,2007-07-05,3,0.980000000000004,6,POINT (-120.5614 41.4836)
ALTURAS MUNI AP,41.4836,-120.5614,2007,38,2007-07-31,2007-08-01,2,0.28000000000000114,6,POINT (-120.5614 41.4836)
ALTURAS MUNI AP,41.4836,-120.5614,2007,39,2007-12-03,2007-12-04,2,0.7700000000000014,6,POINT (-120.5614 41.4836)
ARCATA EUREKA AP,40.9783,-124.1047,2007,201,2007-02-04,2007-02-05,2,4.6200000000000045,3,POINT (-124.1047 40.9783)
ARCATA EUREKA AP,40.9783,-124.1047,2007,202,2007-05-06,2007-05-07,2,1.9600000000000044,3,POINT (-124.1047 40.9783)
ARCATA EUREKA AP,40.9783,-124.1047,2007,203,2007-10-22,2007-10-23,2,1.9600000000000009,3,POINT (-124.1047 40.9783)
AUBURN MUNI AP,38.9547,-121.0819,2007,315,2007-02-04,2007-02-05,2,2.1000000000000014,12,POINT (-121.0819 38.9547)
AUBURN MUNI AP,38.9547,-121.0819,2007,316,2007-03-04,2007-03-06,3,0.3500000000000014,12,POINT (-121.0819 38.9547)
AUBURN MUNI AP,38.9547,-121.0819,2007,317,2007-03-11,2007-03-12,2,0.7000000000000028,12,POINT (-121.0819 38.9547)
AUBURN MUNI AP,38.9547,-121.0819,2007,318,2007-04-04,2007-04-05,2,0.3500000000000014,12,POINT (-121.0819 38.9547)
AUBURN MUNI AP,38.9547,-121.0819,2007,319,2007-04-26,2007-04-28,3,1.7500000000000036,12,POINT (-121.0819 38.9547)
AUBURN MUNI AP,38.9547,-121.0819,2007,320,2007-05-24,2007-05-25,2,1.0500000000000007,12,POINT (-121.0819 38.9547)
AUBURN MUNI AP,38.9547,-121.0819,2007,321,2007-06-12,2007-06-15,4,0.3500000000000014,12,POINT (-121.0819 38.9547)
AUBURN MUNI AP,38.9547,-121.0819,2007,322,2007-07-03,2007-07-05,3,1.4000000000000057,12,POINT (-121.0819 38.9547)
AUBURN MUNI AP,38.9547,-121.0819,2007,323,2007-08-03,2007-08-04,2,0.3500000000000014,12,POINT (-121.0819 38.9547)
AUBURN MUNI AP,38.9547,-121.0819,2007,324,2007-08-21,2007-08-23,3,0.3500000000000014,12,POINT (-121.0819 38.9547)
AUBURN MUNI AP,38.9547,-121.0819,2007,325,2007-09-26,2007-09-27,2,0.7000000000000028,12,POINT (-121.0819 38.9547)
AUBURN MUNI AP,38.9547,-121.0819,2007,326,2007-10-23,2007-10-24,2,0.7000000000000028,12,POINT (-121.0819 38.9547)
BEALE AFB,39.1333,-121.4333,2007,491,2007-02-16,2007-02-17,2,1.1900000000000013,9,POINT (-121.4333 39.1333)
BEALE AFB,39.1333,-121.4333,2007,492,2007-03-04,2007-03-05,2,1.4000000000000021,9,POINT (-121.4333 39.1333)
BEALE AFB,39.1333,-121.4333,2007,493,2007-03-11,2007-03-12,2,0.490000000000002,9,POINT (-121.4333 39.1333)
BEALE AFB,39.1333,-121.4333,2007,494,2007-05-06,2007-05-07,2,1.7500000000000036,9,POINT (-121.4333 39.1333)
BEALE AFB,39.1333,-121.4333,2007,495,2007-06-11,2007-06-14,4,0.3500000000000014,9,POINT (-121.4333 39.1333)
BEALE AFB,39.1333,-121.4333,2007,496,2007-07-03,2007-07-04,2,1.3999999999999986,9,POINT (-121.4333 39.1333)
BEALE AFB,39.1333,-121.4333,2007,497,2007-08-28,2007-08-29,2,0.980000000000004,9,POINT (-121.4333 39.1333)
BEALE AFB,39.1333,-121.4333,2007,498,2007-09-26,2007-09-27,2,0.7000000000000028,9,POINT (-121.4333 39.1333)
BEALE AFB,39.1333,-121.4333,2007,499,2007-10-23,2007-10-24,2,1.3300000000000018,9,POINT (-121.4333 39.1333)
BLUE CANYON NYACK AP,39.2761,-120.7092,2007,664,2007-03-10,2007-03-11,2,3.9200000000000053,8,POINT (-120.7092 39.2761)
BLUE CANYON NYACK AP,39.2761,-120.7092,2007,665,2007-04-26,2007-04-27,2,1.1900000000000013,8,POINT (-120.7092 39.2761)
BLUE CANYON NYACK AP,39.2761,-120.7092,2007,666,2007-06-12,2007-06-14,3,0.4200000000000017,8,POINT (-120.7092 39.2761)
BLUE CANYON NYACK AP,39.2761,-120.7092,2007,667,2007-07-03,2007-07-04,2,3.0800000000000054,8,POINT (-120.7092 39.2761)
BLUE CANYON NYACK AP,39.2761,-120.7092,2007,668,2007-07-27,2007-07-28,2,0.4200000000000017,8,POINT (-120.7092 39.2761)
BLUE CANYON NYACK AP,39.2761,-120.7092,2007,669,2007-08-23,2007-08-24,2,0.4200000000000017,8,POINT (-120.7092 39.2761)
BLUE CANYON NYACK AP,39.2761,-120.7092,2007,670,2007-10-22,2007-10-23,2,0.7699999999999996,8,POINT (-120.7092 39.2761)
BLUE CANYON NYACK AP,39.2761,-120.7092,2007,671,2007-12-22,2007-12-23,2,1.1900000000000013,8,POINT (-120.7092 39.2761)
BODEGA 6 WSW,38.3208,-123.0747,2007,847,2007-01-07,2007-01-08,2,2.030000000000001,10,POINT (-123.0747 38.3208)
BODEGA 6 WSW,38.3208,-123.0747,2007,848,2007-02-16,2007-02-17,2,1.1900000000000013,10,POINT (-123.0747 38.3208)
BODEGA 6 WSW,38.3208,-123.0747,2007,849,2007-03-04,2007-03-06,3,0.3500000000000014,10,POINT (-123.0747 38.3208)
BODEGA 6 WSW,38.3208,-123.0747,2007,850,2007-03-11,2007-03-12,2,0.41999999999999815,10,POINT (-123.0747 38.3208)
BODEGA 6 WSW,38.3208,-123.0747,2007,851,2007-04-26,2007-04-28,3,0.7000000000000028,10,POINT (-123.0747 38.3208)
BODEGA 6 WSW,38.3208,-123.0747,2007,852,2007-06-12,2007-06-14,3,0.28000000000000114,10,POINT (-123.0747 38.3208)
BODEGA 6 WSW,38.3208,-123.0747,2007,853,2007-08-20,2007-08-21,2,0.4200000000000017,10,POINT (-123.0747 38.3208)
BODEGA 6 WSW,38.3208,-123.0747,2007,854,2007-08-28,2007-08-29,2,0.980000000000004,10,POINT (-123.0747 38.3208)
BODEGA 6 WSW,38.3208,-123.0747,2007,855,2007-09-01,2007-09-02,2,0.3500000000000014,10,POINT (-123.0747 38.3208)
BODEGA 6 WSW,38.3208,-123.0747,2007,856,2007-10-23,2007-10-24,2,0.07000000000000028,10,POINT (-123.0747 38.3208)
CHICO ARMY FLYING SCHOOL,39.8,-121.85,2007,995,2007-01-07,2007-01-08,2,2.030000000000001,10,POINT (-121.85 39.8)
CHICO ARMY FLYING SCHOOL,39.8,-121.85,2007,996,2007-02-16,2007-02-17,2,1.1900000000000013,10,POINT (-121.85 39.8)
CHICO ARMY FLYING SCHOOL,39.8,-121.85,2007,997,2007-03-04,2007-03-06,3,0.3500000000000014,10,POINT (-121.85 39.8)
CHICO ARMY FLYING SCHOOL,39.8,-121.85,2007,998,2007-03-11,2007-03-12,2,0.41999999999999815,10,POINT (-121.85 39.8)
CHICO ARMY FLYING SCHOOL,39.8,-121.85,2007,999,2007-04-26,2007-04-28,3,0.7000000000000028,10,POINT (-121.85 39.8)
CHICO ARMY FLYING SCHOOL,39.8,-121.85,2007,1000,2007-06-12,2007-06-14,3,0.28000000000000114,10,POINT (-121.85 39.8)
CHICO ARMY FLYING SCHOOL,39.8,-121.85,2007,1001,2007-08-20,2007-08-21,2,0.4200000000000017,10,POINT (-121.85 39.8)
CHICO ARMY FLYING SCHOOL,39.8,-121.85,2007,1002,2007-08-28,2007-08-29,2,0.980000000000004,10,POINT (-121.85 39.8)
CHICO ARMY FLYING SCHOOL,39.8,-121.85,2007,1003,2007-09-01,2007-09-02,2,0.3500000000000014,10,POINT (-121.85 39.8)
CHICO ARMY FLYING SCHOOL,39.8,-121.85,2007,1004,2007-10-23,2007-10-24,2,0.07000000000000028,10,POINT (-121.85 39.8)
CHINA LAKE NAF,35.6864,-117.6908,2007,1140,2007-02-04,2007-02-06,3,0.9100000000000001,6,POINT (-117.6908 35.6864)
CHINA LAKE NAF,35.6864,-117.6908,2007,1141,2007-03-05,2007-03-06,2,2.8700000000000045,6,POINT (-117.6908 35.6864)
CHINA LAKE NAF,35.6864,-117.6908,2007,1142,2007-03-11,2007-03-13,3,1.3300000000000018,6,POINT (-117.6908 35.6864)
CHINA LAKE NAF,35.6864,-117.6908,2007,1143,2007-04-25,2007-04-28,4,1.6799999999999997,6,POINT (-117.6908 35.6864)
CHINA LAKE NAF,35.6864,-117.6908,2007,1144,2007-05-31,2007-06-03,4,0.5600000000000023,6,POINT (-117.6908 35.6864)
CHINA LAKE NAF,35.6864,-117.6908,2007,1145,2007-10-23,2007-10-24,2,0.9100000000000001,6,POINT (-117.6908 35.6864)
CONCORD BUCHANAN FLD,37.9917,-122.0528,2007,1290,2007-02-15,2007-02-16,2,2.3100000000000023,10,POINT (-122.0528 37.9917)
CONCORD BUCHANAN FLD,37.9917,-122.0528,2007,1291,2007-03-04,2007-03-05,2,1.1900000000000013,10,POINT (-122.0528 37.9917)
CONCORD BUCHANAN FLD,37.9917,-122.0528,2007,1292,2007-03-11,2007-03-12,2,0.3500000000000014,10,POINT (-122.0528 37.9917)
CONCORD BUCHANAN FLD,37.9917,-122.0528,2007,1293,2007-04-26,2007-04-28,3,0.3500000000000014,10,POINT (-122.0528 37.9917)
CONCORD BUCHANAN FLD,37.9917,-122.0528,2007,1294,2007-05-23,2007-05-24,2,0.41999999999999815,10,POINT (-122.0528 37.9917)
CONCORD BUCHANAN FLD,37.9917,-122.0528,2007,1295,2007-06-12,2007-06-14,3,0.4200000000000017,10,POINT (-122.0528 37.9917)
CONCORD BUCHANAN FLD,37.9917,-122.0528,2007,1296,2007-07-03,2007-07-04,2,3.500000000000007,10,POINT (-122.0528 37.9917)
CONCORD BUCHANAN FLD,37.9917,-122.0528,2007,1297,2007-08-20,2007-08-21,2,1.960000000000008,10,POINT (-122.0528 37.9917)
CONCORD BUCHANAN FLD,37.9917,-122.0528,2007,1298,2007-08-28,2007-08-29,2,1.1199999999999974,10,POINT (-122.0528 37.9917)
CONCORD BUCHANAN FLD,37.9917,-122.0528,2007,1299,2007-09-24,2007-09-26,3,1.5400000000000027,10,POINT (-122.0528 37.9917)
CORONA MUNICIPAL AP,33.8978,-117.6025,2007,1460,2007-01-08,2007-01-09,2,0.7000000000000028,10,POINT (-117.6025 33.8978)
