Station_name,Latitude,Longitude,Year,heat_event_group,Start_date,End_date,Duration,Intensity,Frequency,geometry
BODEGA 6 WSW,38.3208,-123.0747,2004,816,2004-02-09,2004-02-10,2,0.5600000000000005,10,POINT (-123.0747 38.3208)
BODEGA 6 WSW,38.3208,-123.0747,2004,817,2004-03-06,2004-03-08,3,1.3300000000000018,10,POINT (-123.0747 38.3208)
BODEGA 6 WSW,38.3208,-123.0747,2004,818,2004-04-23,2004-04-26,4,2.100000000000005,10,POINT (-123.0747 38.3208)
BODEGA 6 WSW,38.3208,-123.0747,2004,819,2004-05-30,2004-05-31,2,0.7699999999999996,10,POINT (-123.0747 38.3208)
BODEGA 6 WSW,38.3208,-123.0747,2004,820,2004-07-04,2004-07-05,2,0.8400000000000034,10,POINT (-123.0747 38.3208)
BODEGA 6 WSW,38.3208,-123.0747,2004,821,2004-08-27,2004-08-28,2,0.8399999999999999,10,POINT (-123.0747 38.3208)
BODEGA 6 WSW,38.3208,-123.0747,2004,822,2004-10-12,2004-10-13,2,0.21000000000000085,10,POINT (-123.0747 38.3208)
BODEGA 6 WSW,38.3208,-123.0747,2004,823,2004-10-31,2004-11-02,3,0.28000000000000114,10,POINT (-123.0747 38.3208)
BODEGA 6 WSW,38.3208,-123.0747,2004,824,2004-12-09,2004-12-10,2,0.7699999999999996,10,POINT (-123.0747 38.3208)
CHICO ARMY FLYING SCHOOL,39.8,-121.85,2004,967,2004-02-09,2004-02-10,2,0.5600000000000005,9,POINT (-121.85 39.8)
CHICO ARMY FLYING SCHOOL,39.8,-121.85,2004,968,2004-03-06,2004-03-08,3,1.3300000000000018,9,POINT (-121.85 39.8)
CHICO ARMY FLYING SCHOOL,39.8,-121.85,2004,969,2004-04-23,2004-04-26,4,2.100000000000005,9,POINT (-121.85 39.8)
CHICO ARMY FLYING SCHOOL,39.8,-121.85,2004,970,2004-05-30,2004-05-31,2,0.7699999999999996,9,POINT (-121.85 39.8)
CHICO ARMY FLYING SCHOOL,39.8,-121.85,2004,971,2004-07-04,2004-07-05,2,0.8400000000000034,9,POINT (-121.85 39.8)
CHICO ARMY FLYING SCHOOL,39.8,-121.85,2004,972,2004-08-27,2004-08-28,2,0.8399999999999999,9,POINT (-121.85 39.8)
CHICO ARMY FLYING SCHOOL,39.8,-121.85,2004,973,2004-10-12,2004-10-13,2,0.21000000000000085,9,POINT (-121.85 39.8)
CHICO ARMY FLYING SCHOOL,39.8,-121.85,2004,974,2004-10-31,2004-11-02,3,0.28000000000000114,9,POINT (-121.85 39.8)
CHICO ARMY FLYING SCHOOL,39.8,-121.85,2004,975,2004-12-09,2004-12-10,2,0.7699999999999996,9,POINT (-121.85 39.8)
CHINA LAKE NAF,35.6864,-117.6908,2004,1124,2004-01-07,2004-01-08,2,1.4000000000000021,5,POINT (-117.6908 35.6864)
CHINA LAKE NAF,35.6864,-117.6908,2004,1125,2004-01-10,2004-01-11,2,1.4000000000000021,5,POINT (-117.6908 35.6864)
CHINA LAKE NAF,35.6864,-117.6908,2004,1126,2004-03-07,2004-03-09,3,0.7000000000000028,5,POINT (-117.6908 35.6864)
CHINA LAKE NAF,35.6864,-117.6908,2004,1127,2004-04-25,2004-04-27,3,0.7000000000000028,5,POINT (-117.6908 35.6864)
CHINA LAKE NAF,35.6864,-117.6908,2004,1128,2004-05-02,2004-05-03,2,1.4000000000000057,5,POINT (-117.6908 35.6864)
CONCORD BUCHANAN FLD,37.9917,-122.0528,2004,1272,2004-01-08,2004-01-11,4,0.41999999999999993,6,POINT (-122.0528 37.9917)
CONCORD BUCHANAN FLD,37.9917,-122.0528,2004,1273,2004-03-06,2004-03-10,5,1.5400000000000027,6,POINT (-122.0528 37.9917)
CONCORD BUCHANAN FLD,37.9917,-122.0528,2004,1274,2004-04-09,2004-04-10,2,1.9600000000000044,6,POINT (-122.0528 37.9917)
CONCORD BUCHANAN FLD,37.9917,-122.0528,2004,1275,2004-04-25,2004-04-27,3,0.3500000000000014,6,POINT (-122.0528 37.9917)
CONCORD BUCHANAN FLD,37.9917,-122.0528,2004,1276,2004-05-30,2004-06-01,3,0.4199999999999946,6,POINT (-122.0528 37.9917)
CONCORD BUCHANAN FLD,37.9917,-122.0528,2004,1277,2004-06-14,2004-06-15,2,1.1900000000000048,6,POINT (-122.0528 37.9917)
CORONA MUNICIPAL AP,33.8978,-117.6025,2004,1429,2004-01-07,2004-01-08,2,1.4700000000000024,10,POINT (-117.6025 33.8978)
CORONA MUNICIPAL AP,33.8978,-117.6025,2004,1430,2004-02-09,2004-02-10,2,0.5600000000000005,10,POINT (-117.6025 33.8978)
CORONA MUNICIPAL AP,33.8978,-117.6025,2004,1431,2004-03-06,2004-03-08,3,1.3300000000000018,10,POINT (-117.6025 33.8978)
CORONA MUNICIPAL AP,33.8978,-117.6025,2004,1432,2004-04-23,2004-04-26,4,2.100000000000005,10,POINT (-117.6025 33.8978)
CORONA MUNICIPAL AP,33.8978,-117.6025,2004,1433,2004-05-30,2004-05-31,2,0.7699999999999996,10,POINT (-117.6025 33.8978)
CORONA MUNICIPAL AP,33.8978,-117.6025,2004,1434,2004-07-04,2004-07-05,2,0.8400000000000034,10,POINT (-117.6025 33.8978)
CORONA MUNICIPAL AP,33.8978,-117.6025,2004,1435,2004-08-27,2004-08-28,2,0.8399999999999999,10,POINT (-117.6025 33.8978)
CORONA MUNICIPAL AP,33.8978,-117.6025,2004,1436,2004-10-12,2004-10-13,2,0.21000000000000085,10,POINT (-117.6025 33.8978)
CORONA MUNICIPAL AP,33.8978,-117.6025,2004,1437,2004-10-31,2004-11-02,3,0.28000000000000114,10,POINT (-117.6025 33.8978)
CORONA MUNICIPAL AP,33.8978,-117.6025,2004,1438,2004-12-09,2004-12-10,2,0.7699999999999996,10,POINT (-117.6025 33.8978)
CRESCENT CITY MCNAMARA AP,41.7836,-124.2381,2004,1596,2004-03-07,2004-03-08,2,1.4000000000000021,5,POINT (-124.2381 41.7836)
CRESCENT CITY MCNAMARA AP,41.7836,-124.2381,2004,1597,2004-04-23,2004-04-24,2,1.0500000000000007,5,POINT (-124.2381 41.7836)
CRESCENT CITY MCNAMARA AP,41.7836,-124.2381,2004,1598,2004-08-04,2004-08-05,2,0.2099999999999973,5,POINT (-124.2381 41.7836)
CRESCENT CITY MCNAMARA AP,41.7836,-124.2381,2004,1599,2004-10-12,2004-10-13,2,1.4000000000000021,5,POINT (-124.2381 41.7836)
CRESCENT CITY MCNAMARA AP,41.7836,-124.2381,2004,1600,2004-12-10,2004-12-12,3,1.4000000000000021,5,POINT (-124.2381 41.7836)
EDWARDS AFB N AUX AIRFIELD,34.9883,-117.8647,2004,1678,2004-01-07,2004-01-08,2,1.4700000000000024,10,POINT (-117.8647 34.9883)
EDWARDS AFB N AUX AIRFIELD,34.9883,-117.8647,2004,1679,2004-02-09,2004-02-10,2,0.5600000000000005,10,POINT (-117.8647 34.9883)
EDWARDS AFB N AUX AIRFIELD,34.9883,-117.8647,2004,1680,2004-03-06,2004-03-08,3,1.3300000000000018,10,POINT (-117.8647 34.9883)
EDWARDS AFB N AUX AIRFIELD,34.9883,-117.8647,2004,1681,2004-04-23,2004-04-26,4,2.100000000000005,10,POINT (-117.8647 34.9883)
EDWARDS AFB N AUX AIRFIELD,34.9883,-117.8647,2004,1682,2004-05-30,2004-05-31,2,0.7699999999999996,10,POINT (-117.8647 34.9883)
EDWARDS AFB N AUX AIRFIELD,34.9883,-117.8647,2004,1683,2004-07-04,2004-07-05,2,0.8400000000000034,10,POINT (-117.8647 34.9883)
EDWARDS AFB N AUX AIRFIELD,34.9883,-117.8647,2004,1684,2004-08-27,2004-08-28,2,0.8399999999999999,10,POINT (-117.8647 34.9883)
EDWARDS AFB N AUX AIRFIELD,34.9883,-117.8647,2004,1685,2004-10-12,2004-10-13,2,0.21000000000000085,10,POINT (-117.8647 34.9883)
EDWARDS AFB N AUX AIRFIELD,34.9883,-117.8647,2004,1686,2004-10-31,2004-11-02,3,0.28000000000000114,10,POINT (-117.8647 34.9883)
EDWARDS AFB N AUX AIRFIELD,34.9883,-117.8647,2004,1687,2004-12-09,2004-12-10,2,0.7699999999999996,10,POINT (-117.8647 34.9883)
EUREKA WFO WOODLEY IS,40.8097,-124.1603,2004,1852,2004-01-07,2004-01-08,2,1.6100000000000012,10,POINT (-124.1603 40.8097)
EUREKA WFO WOODLEY IS,40.8097,-124.1603,2004,1853,2004-02-09,2004-02-10,2,0.5600000000000005,10,POINT (-124.1603 40.8097)
EUREKA WFO WOODLEY IS,40.8097,-124.1603,2004,1854,2004-03-06,2004-03-08,3,1.3300000000000018,10,POINT (-124.1603 40.8097)
EUREKA WFO WOODLEY IS,40.8097,-124.1603,2004,1855,2004-04-23,2004-04-26,4,2.100000000000005,10,POINT (-124.1603 40.8097)
EUREKA WFO WOODLEY IS,40.8097,-124.1603,2004,1856,2004-05-30,2004-05-31,2,0.7699999999999996,10,POINT (-124.1603 40.8097)
EUREKA WFO WOODLEY IS,40.8097,-124.1603,2004,1857,2004-07-04,2004-07-05,2,0.8400000000000034,10,POINT (-124.1603 40.8097)
EUREKA WFO WOODLEY IS,40.8097,-124.1603,2004,1858,2004-08-27,2004-08-28,2,0.8399999999999999,10,POINT (-124.1603 40.8097)
EUREKA WFO WOODLEY IS,40.8097,-124.1603,2004,1859,2004-10-12,2004-10-13,2,0.8399999999999999,10,POINT (-124.1603 40.8097)
EUREKA WFO WOODLEY IS,40.8097,-124.1603,2004,1860,2004-10-31,2004-11-02,3,0.28000000000000114,10,POINT (-124.1603 40.8097)
EUREKA WFO WOODLEY IS,40.8097,-124.1603,2004,1861,2004-12-09,2004-12-10,2,0.7699999999999996,10,POINT (-124.1603 40.8097)
FALLBROOK 5 NE,33.4392,-117.1903,2004,2075,2004-01-07,2004-01-08,2,1.4700000000000024,10,POINT (-117.1903 33.4392)
FALLBROOK 5 NE,33.4392,-117.1903,2004,2076,2004-02-09,2004-02-10,2,0.5600000000000005,10,POINT (-117.1903 33.4392)
FALLBROOK 5 NE,33.4392,-117.1903,2004,2077,2004-03-06,2004-03-08,3,1.3300000000000018,10,POINT (-117.1903 33.4392)
FALLBROOK 5 NE,33.4392,-117.1903,2004,2078,2004-04-23,2004-04-26,4,2.100000000000005,10,POINT (-117.1903 33.4392)
FALLBROOK 5 NE,33.4392,-117.1903,2004,2079,2004-05-30,2004-05-31,2,0.7699999999999996,10,POINT (-117.1903 33.4392)
FALLBROOK 5 NE,33.4392,-117.1903,2004,2080,2004-07-04,2004-07-05,2,0.8400000000000034,10,POINT (-117.1903 33.4392)
FALLBROOK 5 NE,33.4392,-117.1903,2004,2081,2004-08-27,2004-08-28,2,0.8399999999999999,10,POINT (-117.1903 33.4392)
FALLBROOK 5 NE,33.4392,-117.1903,2004,2082,2004-10-12,2004-10-13,2,0.21000000000000085,10,POINT (-117.1903 33.4392)
FALLBROOK 5 NE,33.4392,-117.1903,2004,2083,2004-10-31,2004-11-02,3,0.28000000000000114,10,POINT (-117.1903 33.4392)
FALLBROOK 5 NE,33.4392,-117.1903,2004,2084,2004-12-09,2004-12-10,2,0.7699999999999996,10,POINT (-117.1903 33.4392)
FRESNO YOSEMITE INTL,36.78,-119.7203,2004,2275,2004-02-11,2004-02-12,2,1.8200000000000003,7,POINT (-119.7203 36.78)
FRESNO YOSEMITE INTL,36.78,-119.7203,2004,2276,2004-03-05,2004-03-09,5,0.21000000000000085,7,POINT (-119.7203 36.78)
FRESNO YOSEMITE INTL,36.78,-119.7203,2004,2277,2004-03-16,2004-03-18,3,1.6800000000000033,7,POINT (-119.7203 36.78)
FRESNO YOSEMITE INTL,36.78,-119.7203,2004,2278,2004-04-25,2004-04-27,3,0.6300000000000026,7,POINT (-119.7203 36.78)
FRESNO YOSEMITE INTL,36.78,-119.7203,2004,2279,2004-05-31,2004-06-02,3,0.4200000000000017,7,POINT (-119.7203 36.78)
FRESNO YOSEMITE INTL,36.78,-119.7203,2004,2280,2004-07-04,2004-07-05,2,1.1899999999999977,7,POINT (-119.7203 36.78)
FRESNO YOSEMITE INTL,36.78,-119.7203,2004,2281,2004-10-13,2004-10-14,2,1.0499999999999972,7,POINT (-119.7203 36.78)
GILLESPIE FLD AP,32.8261,-116.9725,2004,2430,2004-01-09,2004-01-11,3,0.7000000000000028,6,POINT (-116.9725 32.8261)
GILLESPIE FLD AP,32.8261,-116.9725,2004,2431,2004-03-05,2004-03-08,4,1.4000000000000057,6,POINT (-116.9725 32.8261)
GILLESPIE FLD AP,32.8261,-116.9725,2004,2432,2004-04-24,2004-04-26,3,2.8000000000000043,6,POINT (-116.9725 32.8261)
GILLESPIE FLD AP,32.8261,-116.9725,2004,2433,2004-05-30,2004-05-31,2,3.500000000000007,6,POINT (-116.9725 32.8261)
GILLESPIE FLD AP,32.8261,-116.9725,2004,2434,2004-07-11,2004-07-13,3,2.1000000000000014,6,POINT (-116.9725 32.8261)
GILLESPIE FLD AP,32.8261,-116.9725,2004,2435,2004-12-10,2004-12-11,2,2.1000000000000014,6,POINT (-116.9725 32.8261)
HANFORD MUNI AP,36.3114,-119.6231,2004,2577,2004-02-11,2004-02-12,2,0.7000000000000028,6,POINT (-119.6231 36.3114)
HANFORD MUNI AP,36.3114,-119.6231,2004,2578,2004-03-05,2004-03-08,4,2.1000000000000014,6,POINT (-119.6231 36.3114)
HANFORD MUNI AP,36.3114,-119.6231,2004,2579,2004-04-25,2004-04-26,2,2.1000000000000014,6,POINT (-119.6231 36.3114)
HANFORD MUNI AP,36.3114,-119.6231,2004,2580,2004-05-31,2004-06-01,2,0.7000000000000028,6,POINT (-119.6231 36.3114)
HANFORD MUNI AP,36.3114,-119.6231,2004,2581,2004-07-05,2004-07-06,2,0.7000000000000028,6,POINT (-119.6231 36.3114)
HANFORD MUNI AP,36.3114,-119.6231,2004,2582,2004-10-13,2004-10-14,2,1.4000000000000057,6,POINT (-119.6231 36.3114)
HAYWARD AIR TERMINAL,37.6589,-122.1211,2004,2728,2004-01-07,2004-01-08,2,2.3100000000000023,8,POINT (-122.1211 37.6589)
HAYWARD AIR TERMINAL,37.6589,-122.1211,2004,2729,2004-03-07,2004-03-10,4,2.3100000000000023,8,POINT (-122.1211 37.6589)
HAYWARD AIR TERMINAL,37.6589,-122.1211,2004,2730,2004-04-24,2004-04-26,3,1.1900000000000013,8,POINT (-122.1211 37.6589)
HAYWARD AIR TERMINAL,37.6589,-122.1211,2004,2731,2004-06-14,2004-06-15,2,4.270000000000007,8,POINT (-122.1211 37.6589)
HAYWARD AIR TERMINAL,37.6589,-122.1211,2004,2732,2004-08-07,2004-08-08,2,0.3500000000000014,8,POINT (-122.1211 37.6589)
HAYWARD AIR TERMINAL,37.6589,-122.1211,2004,2733,2004-08-27,2004-08-28,2,1.1199999999999974,8,POINT (-122.1211 37.6589)
HAYWARD AIR TERMINAL,37.6589,-122.1211,2004,2734,2004-09-05,2004-09-06,2,0.4200000000000017,8,POINT (-122.1211 37.6589)
HAYWARD AIR TERMINAL,37.6589,-122.1211,2004,2735,2004-10-31,2004-11-01,2,0.3500000000000014,8,POINT (-122.1211 37.6589)
IMPERIAL BEACH REAM FLD NAS,32.5681,-117.1172,2004,2869,2004-03-06,2004-03-08,3,2.8700000000000045,10,POINT (-117.1172 32.5681)
IMPERIAL BEACH REAM FLD NAS,32.5681,-117.1172,2004,2870,2004-03-28,2004-03-29,2,4.900000000000006,10,POINT (-117.1172 32.5681)
IMPERIAL BEACH REAM FLD NAS,32.5681,-117.1172,2004,2871,2004-04-24,2004-04-25,2,1.4700000000000024,10,POINT (-117.1172 32.5681)
IMPERIAL BEACH REAM FLD NAS,32.5681,-117.1172,2004,2872,2004-05-02,2004-05-03,2,2.8700000000000045,10,POINT (-117.1172 32.5681)
IMPERIAL BEACH REAM FLD NAS,32.5681,-117.1172,2004,2873,2004-05-29,2004-05-31,3,0.7699999999999996,10,POINT (-117.1172 32.5681)
IMPERIAL BEACH REAM FLD NAS,32.5681,-117.1172,2004,2874,2004-06-26,2004-06-27,2,0.490000000000002,10,POINT (-117.1172 32.5681)
IMPERIAL BEACH REAM FLD NAS,32.5681,-117.1172,2004,2875,2004-07-04,2004-07-05,2,0.8400000000000034,10,POINT (-117.1172 32.5681)
IMPERIAL BEACH REAM FLD NAS,32.5681,-117.1172,2004,2876,2004-07-17,2004-07-18,2,0.4200000000000017,10,POINT (-117.1172 32.5681)
IMPERIAL BEACH REAM FLD NAS,32.5681,-117.1172,2004,2877,2004-08-27,2004-08-28,2,1.120000000000001,10,POINT (-117.1172 32.5681)
IMPERIAL BEACH REAM FLD NAS,32.5681,-117.1172,2004,2878,2004-10-11,2004-10-12,2,0.28000000000000114,10,POINT (-117.1172 32.5681)
INYOKERN KERN CO,35.6667,-117.8333,2004,3023,2004-01-10,2004-01-11,2,0.7000000000000028,8,POINT (-117.8333 35.6667)
