Station_ID,Index,Original_Temperature,Filled_Temperature
USW00023224,646,nan,21.5
USW00023224,8212,nan,27.0
USW00023224,8218,nan,23.5
USW00023224,8220,nan,23.5
USW00023224,8222,nan,24.0
USW00023224,8224,nan,24.0
USW00023224,8232,nan,30.0
USW00023224,8234,nan,31.5
USW00023224,8237,nan,33.0
USW00023224,8246,nan,31.5
USW00023224,8265,nan,23.5
USW00023224,8275,nan,19.5
USW00023224,8277,nan,23.5
USW00023224,8281,nan,27.0
USW00023224,8286,nan,30.0
USW00023224,8420,nan,20.0
USW00023224,8440,nan,33.0
USW00023224,8550,nan,27.0
USW00023224,8597,nan,23.5
USW00023224,8599,nan,23.0
USW00023224,8601,nan,22.0
USW00023224,8616,nan,23.5
USW00023224,8640,nan,24.5
USW00023224,8646,nan,22.0
USW00023224,8651,nan,19.5
USW00023224,8654,nan,19.0
USW00023224,8667,nan,24.0
USW00023224,8694,nan,22.5
USW00023224,8698,nan,21.5
USW00023224,8700,nan,21.5
USW00023224,8710,nan,18.0
USW00023224,8724,nan,29.0
USW00023224,8728,nan,31.0
USW00023224,8730,nan,31.5
USW00023224,8740,nan,25.0
USW00023224,8783,nan,23.0
USW00023224,8789,nan,21.5
USW00023224,8791,nan,19.0
USW00023224,8805,nan,26.5
USW00023224,8808,nan,27.5
USW00023224,8836,nan,18.0
USW00023224,8854,nan,28.0
USW00023224,8858,nan,27.5
USW00023224,8877,nan,17.5
USW00023224,8882,nan,17.5
USW00023224,8887,nan,21.0
USW00023224,8896,nan,28.0
USW00023224,8902,nan,29.0
USW00023224,8906,nan,27.5
USW00023224,8915,nan,18.5
USW00023224,8944,nan,28.0
USW00023224,8953,nan,25.5
USW00023224,8956,nan,23.5
USW00023224,9064,nan,17.0
USW00023224,9069,nan,22.5
USW00023224,9076,nan,27.0
USW00023224,9082,nan,30.0
USW00023224,9110,nan,19.5
USW00023224,9153,nan,22.0
USW00023224,9199,nan,25.0
USW00023224,9297,nan,27.0
USW00023224,9299,nan,28.5
USW00023224,9317,nan,25.5
USW00023224,9342,nan,26.0
USW00023224,9383,nan,24.0
USW00023224,9385,nan,25.0
USW00023224,9399,nan,30.5
USW00023224,9419,nan,18.5
USW00023224,9432,nan,31.5
USW00023224,9451,nan,23.5
USW00023224,9456,nan,21.5
USW00023224,9516,nan,30.0
USW00023224,9609,nan,31.5
USW00023224,9612,nan,31.0
USW00023224,13023,nan,13.0
USW00023230,35094,nan,12.9
USW00023232,42236,nan,21.700000000000003
USW00023232,44832,nan,12.8
USW00023234,60312,nan,12.95
USW00023237,72859,nan,6.0
USW00023237,72861,nan,6.0
USW00023237,72863,nan,6.0
USW00023237,72865,nan,6.0
USW00023237,72930,nan,8.0
USW00023237,72934,nan,8.0
USW00023237,73122,nan,5.0
USW00023237,73163,nan,2.0
USW00023237,73165,nan,2.0
USW00023237,73167,nan,2.0
USW00023237,73174,nan,0.8
USW00023237,73177,nan,0.5
USW00023237,73179,nan,1.5
USW00023237,73181,nan,2.5
USW00023237,73186,nan,5.0
USW00023237,73218,nan,3.0
USW00023237,73220,nan,3.0
USW00023237,73222,nan,2.0
USW00023237,73225,nan,2.1
USW00023237,73227,nan,2.6
USW00023237,73229,nan,3.0
USW00023237,73231,nan,3.5
USW00023237,73233,nan,4.0
USW00023237,73235,nan,4.5
USW00023237,73272,nan,2.1
USW00023237,73274,nan,1.5
USW00023237,73277,nan,1.5
USW00023237,73281,nan,0.0
USW00023237,73283,nan,0.0
USW00023237,73285,nan,0.0
USW00023237,73287,nan,0.5
USW00023237,73289,nan,2.5
USW00023237,73382,nan,0.0
USW00023237,73385,nan,0.5
USW00023237,73388,nan,-1.0
USW00023237,73390,nan,-1.0
USW00023237,73392,nan,-1.0
USW00023237,73394,nan,-0.5
USW00023237,73438,nan,1.5
USW00023237,73441,nan,1.5
USW00023237,73444,nan,1.0
USW00023237,73448,nan,0.0
USW00023237,73450,nan,3.0
USW00023237,73554,nan,1.0
USW00023237,73558,nan,4.0
USW00023237,73599,nan,2.5
USW00023237,73604,nan,1.35
USW00023237,73606,nan,1.0
USW00023237,73609,nan,-0.5
USW00023237,73611,nan,-0.5
USW00023237,73666,nan,1.0
USW00023237,73715,nan,1.0
USW00023237,73998,nan,11.0
USW00023237,74046,nan,12.0
USW00023237,74050,nan,12.0
USW00023237,74344,nan,2.1
USW00023237,74399,nan,1.0
USW00023237,74401,nan,1.5
USW00023237,74403,nan,2.0
USW00023237,74460,nan,0.5
USW00023237,74515,nan,2.1
USW00023237,74524,nan,7.1
USW00023237,74560,nan,5.0
USW00023237,74564,nan,2.5
USW00023237,74567,nan,2.0
USW00023237,74571,nan,2.4
USW00023237,74573,nan,2.0
USW00023237,74575,nan,2.0
USW00023237,74578,nan,1.5
USW00023237,74582,nan,5.0
USW00023237,74621,nan,6.0
USW00023237,74624,nan,6.0
USW00023237,74629,nan,3.5
USW00023237,74631,nan,3.0
USW00023237,74633,nan,2.5
USW00023237,74635,nan,2.0
USW00023237,74638,nan,4.5
USW00023237,75324,nan,5.0
USW00023237,75326,nan,4.5
USW00023237,75329,nan,3.5
USW00023237,75333,nan,4.7
USW00023237,75335,nan,5.0
USW00023237,75337,nan,5.5
USW00023237,75339,nan,6.0
USW00023237,75341,nan,6.0
USW00023237,75377,nan,4.5
