Station_ID,Index,Original_Temperature,Filled_Temperature
USW00023224,794,nan,5.5
USW00023224,1370,nan,5.5
USW00023224,1396,nan,13.5
USW00023224,1401,nan,14.0
USW00023224,1541,nan,11.5
USW00023224,1544,nan,11.5
USW00023224,1597,nan,15.5
USW00023224,4168,nan,10.5
USW00023224,8838,nan,24.5
USW00023224,10447,nan,25.5
USW00023224,10449,nan,28.0
USW00023224,13395,nan,11.0
USW00023225,16684,nan,10.85
USW00023225,18601,nan,21.1
USW00023225,18625,nan,21.950000000000003
USW00023230,33212,nan,13.05
USW00023230,33238,nan,13.600000000000001
USW00023230,33240,nan,13.9
USW00023230,34652,nan,7.8
USW00023230,34655,nan,8.3
USW00023230,34825,nan,8.600000000000001
USW00023230,35410,nan,13.3
USW00023230,35422,nan,10.6
USW00023232,37175,nan,13.649999999999999
USW00023232,39075,nan,20.549999999999997
USW00023232,39091,nan,19.450000000000003
USW00023232,41602,nan,20.8
USW00023232,43894,nan,10.55
USW00023233,52474,nan,18.049999999999997
USW00023233,52629,nan,11.95
USW00023233,53542,nan,6.5
USW00023233,54053,nan,14.7
USW00023234,57005,nan,13.9
USW00023234,61540,nan,20.85
USW00023237,72662,nan,18.9
USW00023237,75707,nan,10.0
USW00023243,77901,nan,6.1
USW00023243,78073,nan,25.85
USW00023243,78307,nan,11.1
USW00023243,78315,nan,12.05
USW00023243,78423,nan,11.95
USW00023243,78439,nan,14.4
USW00023243,78442,nan,14.8
USW00023243,78444,nan,13.95
USW00023243,78450,nan,10.85
USW00023243,78453,nan,8.05
USW00023243,78466,nan,5.0
USW00023243,78478,nan,18.05
USW00023243,78490,nan,11.7
USW00023243,78506,nan,20.549999999999997
USW00023243,78511,nan,12.2
USW00023243,78513,nan,11.1
USW00023243,78521,nan,15.3
USW00023243,78525,nan,25.799999999999997
USW00023243,78530,nan,25.0
USW00023243,78543,nan,13.600000000000001
USW00023243,78547,nan,20.3
USW00023243,78550,nan,29.15
USW00023243,78552,nan,31.65
USW00023243,78554,nan,30.25
USW00023243,78557,nan,21.4
USW00023243,78559,nan,17.25
USW00023243,78561,nan,14.45
USW00023243,78566,nan,10.85
USW00023243,78568,nan,10.3
USW00023243,78581,nan,15.850000000000001
USW00023243,78583,nan,13.350000000000001
USW00023243,78663,nan,12.75
USW00023243,78730,nan,17.5
USW00023243,83061,nan,16.05
USW00023244,97403,nan,17.5
USW00023257,111760,nan,16.1
USW00023259,133799,nan,17.75
USW00023259,134884,nan,11.95
USW00023273,146286,nan,12.5
USW00023273,146294,nan,12.2
USW00023273,146302,nan,11.95
USW00023273,146305,nan,11.1
USW00023273,146307,nan,11.1
USW00023273,146436,nan,11.7
USW00023273,146484,nan,13.05
USW00023273,146488,nan,12.5
USW00023273,146492,nan,12.9
USW00023273,146523,nan,13.05
USW00023273,146542,nan,11.1
USW00023273,146567,nan,13.05
USW00023273,146573,nan,12.1
USW00023273,146936,nan,11.7
USW00023273,147232,nan,6.95
USW00023273,147234,nan,7.75
USW00023273,147323,nan,9.15
USW00023273,147330,nan,7.1
USW00023273,147335,nan,7.1
USW00023273,147339,nan,6.7
USW00023273,147555,nan,13.9
USW00023273,147846,nan,13.3
USW00023273,148123,nan,15.0
USW00023273,148125,nan,13.350000000000001
USW00023273,148891,nan,10.3
USW00023273,148908,nan,10.3
USW00023273,148922,nan,12.2
USW00023273,148936,nan,8.65
USW00023273,149065,nan,12.2
USW00023275,150581,nan,13.05
USW00023275,150876,nan,13.6
USW00023275,154185,nan,31.349999999999998
USW00023275,155720,nan,16.4
USW00023275,157938,nan,13.05
USW00023285,169964,nan,13.05
USW00023285,170922,nan,19.75
USW00023289,179357,nan,14.5
USW00023289,181953,nan,16.0
USW00023293,187668,nan,25.8
USW00023293,192123,nan,16.1
USW00024213,192234,nan,11.1
USW00024213,192283,nan,10.85
USW00024213,192314,nan,8.6
USW00024213,192386,nan,5.85
USW00024213,192422,nan,7.5
USW00024213,192444,nan,6.95
USW00024213,192453,nan,8.35
USW00024213,192496,nan,11.95
USW00024213,192498,nan,11.149999999999999
USW00024213,192525,nan,6.95
USW00024213,192572,nan,8.3
USW00024213,192647,nan,8.05
USW00024213,192666,nan,11.7
USW00024213,192676,nan,9.75
USW00024213,192720,nan,8.9
USW00024213,192747,nan,9.2
USW00024213,192815,nan,7.75
USW00024213,192831,nan,7.2
USW00024213,192848,nan,8.600000000000001
USW00024213,192855,nan,11.399999999999999
USW00024213,192874,nan,12.8
USW00024213,192879,nan,7.5
USW00024213,192933,nan,9.15
USW00024213,192970,nan,11.95
USW00024213,192981,nan,6.95
USW00024213,192991,nan,7.800000000000001
USW00024213,193003,nan,6.9
USW00024213,193005,nan,3.6
USW00024213,193024,nan,11.399999999999999
USW00024213,193030,nan,13.9
USW00024213,193052,nan,12.5
USW00024213,193153,nan,15.25
USW00024213,193213,nan,16.4
USW00024213,193303,nan,13.05
USW00024213,193377,nan,15.0
USW00024213,193476,nan,14.75
USW00024213,193479,nan,15.0
USW00024213,193481,nan,13.600000000000001
USW00024213,193483,nan,14.45
