Station_ID,Index,Original_Temperature,Filled_Temperature
USW00023224,1681,nan,14.5
USW00023224,11435,nan,30.0
USW00023224,11437,nan,31.5
USW00023224,13661,nan,5.0
USW00023224,13714,nan,14.0
USW00023224,13717,nan,14.0
USW00023225,23393,nan,14.45
USW00023232,39035,nan,17.05
USW00023233,45129,nan,8.95
USW00023233,45151,nan,8.65
USW00023233,45154,nan,8.65
USW00023233,45351,nan,8.15
USW00023233,45839,nan,16.85
USW00023233,46216,nan,12.1
USW00023233,46219,nan,11.55
USW00023233,46224,nan,10.0
USW00023233,46228,nan,9.2
USW00023233,46991,nan,8.850000000000001
USW00023233,47154,nan,13.65
USW00023233,47157,nan,12.9
USW00023233,47160,nan,12.9
USW00023233,47167,nan,11.95
USW00023233,47174,nan,11.05
USW00023233,49087,nan,13.15
USW00023233,49277,nan,12.1
USW00023233,49282,nan,11.85
USW00023233,49810,nan,12.1
USW00023233,49951,nan,12.4
USW00023233,51619,nan,16.85
USW00023233,51772,nan,19.5
USW00023233,52731,nan,13.15
USW00023233,52804,nan,14.2
USW00023233,52809,nan,13.95
USW00023233,52812,nan,13.95
USW00023233,52815,nan,13.3
USW00023233,53085,nan,12.9
USW00023233,53089,nan,12.1
USW00023233,53119,nan,10.8
USW00023233,53178,nan,14.2
USW00023233,53257,nan,13.95
USW00023233,53277,nan,12.1
USW00023233,53413,nan,13.05
USW00023233,53636,nan,10.0
USW00023233,53643,nan,8.3
USW00023233,53649,nan,9.7
USW00023233,53737,nan,13.350000000000001
USW00023233,53896,nan,7.9
USW00023233,54418,nan,9.4
USW00023234,65377,nan,11.1
USW00023237,65884,nan,1.05
USW00023237,65887,nan,1.35
USW00023237,65927,nan,2.4
USW00023237,65937,nan,9.2
USW00023237,66111,nan,6.05
USW00023237,66127,nan,8.35
USW00023237,66129,nan,9.75
USW00023237,66176,nan,8.45
USW00023237,66179,nan,9.2
USW00023237,66231,nan,8.0
USW00023237,66239,nan,7.2
USW00023237,66242,nan,6.85
USW00023237,66254,nan,7.4
USW00023237,66330,nan,10.55
USW00023237,66337,nan,9.7
USW00023237,66340,nan,9.15
USW00023237,66407,nan,6.3
USW00023237,66422,nan,6.05
USW00023237,66511,nan,6.65
USW00023237,66513,nan,7.1
USW00023237,66545,nan,6.85
USW00023237,66589,nan,6.35
USW00023237,66627,nan,5.3
USW00023237,66677,nan,7.1
USW00023237,66722,nan,5.8
USW00023237,66729,nan,7.5
USW00023237,66765,nan,2.4
USW00023237,66881,nan,4.5
USW00023237,66956,nan,4.8
USW00023237,66986,nan,5.2
USW00023237,67079,nan,13.45
USW00023237,67083,nan,15.3
USW00023237,67206,nan,7.6
USW00023237,67210,nan,5.8
USW00023237,67250,nan,7.65
USW00023237,67321,nan,6.85
USW00023237,67335,nan,4.7
USW00023237,67793,nan,3.15
USW00023237,74942,nan,1.55
USW00023237,74946,nan,2.1
USW00023237,74952,nan,6.1
